R,G,B,Color
100,149,237,CornflowerBlue
70,130,180,SteelBlue
65,105,225,RoyalBlue
0,0,255,Blue
0,0,205,MediumBlue
0,0,139,DarkBlue
25,25,112,MidnightBlue
72,61,139,DarkSlateBlue
75,0,130,Indigo
106,90,205,SlateBlue
123,104,238,MediumSlateBlue
138,43,226,BlueViolet
148,0,211,DarkViolet
153,50,204,DarkOrchid
186,85,211,MediumOrchid
128,0,128,Purple
139,0,139,DarkMagenta
255,0,255,Magenta
218,112,214,Orchid
221,160,221,Plum
238,130,238,Violet
255,20,147,DeepPink
255,105,180,HotPink
255,182,193,LightPink
255,192,203,Pink
250,128,114,Salmon
233,150,122,DarkSalmon
240,128,128,LightCoral
205,92,92,IndianRed
210,105,30,Chocolate
160,82,45,Sienna
139,69,19,SaddleBrown
165,42,42,Brown
244,164,96,SandyBrown
210,180,140,Tan
222,184,135,BurlyWood
245,222,179,Wheat
255,228,196,Bisque
255,235,205,BlanchedAlmond
255,248,220,Cornsilk
255,250,240,FloralWhite
253,245,230,OldLace
255,245,238,SeaShell
245,245,220,Beige
250,240,230,Linen
255,255,255,White
245,245,245,WhiteSmoke
220,220,220,Gainsboro
211,211,211,LightGray
192,192,192,Silver
169,169,169,DarkGray
128,128,128,Gray
105,105,105,DimGray
119,136,153,LightSlateGray
112,128,144,SlateGray
47,79,79,DarkSlateGray
0,0,0,Black
238,232,170,PaleGoldenrod
218,165,32,Goldenrod
184,134,11,DarkGoldenrod
255,248,220,Cornsilk
255,250,205,LemonChiffon
255,239,213,PapayaWhip
255,228,181,Moccasin
255,222,173,NavajoWhite
250,235,215,AntiqueWhite
255,228,196,Bisque
255,235,205,BlanchedAlmond
255,245,238,SeaShell
245,222,179,Wheat
222,184,135,BurlyWood
210,180,140,Tan
188,143,143,RosyBrown
244,164,96,SandyBrown
210,105,30,Chocolate
160,82,45,Sienna
139,69,19,SaddleBrown
165,42,42,Brown
128,0,0,Maroon
255,160,122,LightSalmon
250,128,114,Salmon
233,150,122,DarkSalmon
240,128,128,LightCoral
205,92,92,IndianRed
178,34,34,FireBrick
220,20,60,Crimson
255,182,193,LightPink
255,192,203,Pink
255,105,180,HotPink
255,20,147,DeepPink
219,112,147,PaleVioletRed
199,21,133,MediumVioletRed
255,0,255,Magenta
238,130,238,Violet
221,160,221,Plum
218,112,214,Orchid
186,85,211,MediumOrchid
153,50,204,DarkOrchid
148,0,211,DarkViolet
138,43,226,BlueViolet
147,112,219,MediumPurple
123,104,238,MediumSlateBlue
106,90,205,SlateBlue
72,61,139,DarkSlateBlue
75,0,130,Indigo
0,0,128,Navy
25,25,112,MidnightBlue
0,0,139,DarkBlue
0,0,205,MediumBlue
65,105,225,RoyalBlue
100,149,237,CornflowerBlue
30,144,255,DodgerBlue
0,191,255,DeepSkyBlue
135,206,235,SkyBlue
135,206,250,LightSkyBlue
70,130,180,SteelBlue
176,196,222,LightSteelBlue
173,216,230,LightBlue
176,224,230,PowderBlue
175,238,238,PaleTurquoise
0,255,255,Cyan
64,224,208,Turquoise
72,209,204,MediumTurquoise
0,206,209,DarkTurquoise
32,178,170,LightSeaGreen
95,158,160,CadetBlue
127,255,212,Aquamarine
102,205,170,MediumAquamarine
0,250,154,MediumSpringGreen
0,255,127,SpringGreen
46,139,87,SeaGreen
60,179,113,MediumSeaGreen
143,188,143,DarkSeaGreen
152,251,152,PaleGreen
144,238,144,LightGreen
50,205,50,LimeGreen
34,139,34,ForestGreen
0,128,0,Green
0,100,0,DarkGreen
154,205,50,YellowGreen
124,252,0,LawnGreen
127,255,0,Chartreuse
173,255,47,GreenYellow
240,255,240,HoneyDew
245,255,250,MintCream
250,250,210,LightGoldenrodYellow
255,255,240,Ivory
255,250,240,FloralWhite
253,245,230,OldLace
250,240,230,Linen
245,245,220,Beige
255,255,255,White
245,245,245,WhiteSmoke
220,220,220,Gainsboro
211,211,211,LightGray
192,192,192,Silver
169,169,169,DarkGray
128,128,128,Gray
105,105,105,DimGray
112,128,144,SlateGray
47,79,79,DarkSlateGray
0,0,0,Black
240,248,255,AliceBlue
250,235,215,AntiqueWhite
127,255,212,Aquamarine
240,255,255,Azure
245,245,220,Beige
255,228,196,Bisque
255,235,205,BlanchedAlmond
138,43,226,BlueViolet
165,42,42,Brown
222,184,135,BurlyWood
95,158,160,CadetBlue
127,255,0,Chartreuse
210,105,30,Chocolate
255,127,80,Coral
100,149,237,CornflowerBlue
255,248,220,Cornsilk
220,20,60,Crimson
0,255,255,Cyan
0,0,139,DarkBlue
0,139,139,DarkCyan
184,134,11,DarkGoldenrod
169,169,169,DarkGray
0,100,0,DarkGreen
189,183,107,DarkKhaki
139,0,139,DarkMagenta
85,107,47,DarkOliveGreen
255,140,0,DarkOrange
153,50,204,DarkOrchid
139,0,0,DarkRed
233,150,122,DarkSalmon
143,188,143,DarkSeaGreen
72,61,139,DarkSlateBlue
47,79,79,DarkSlateGray
0,206,209,DarkTurquoise
148,0,211,DarkViolet
255,20,147,DeepPink
0,191,255,DeepSkyBlue
105,105,105,DimGray
30,144,255,DodgerBlue
178,34,34,FireBrick
255,250,240,FloralWhite
34,139,34,ForestGreen
220,220,220,Gainsboro
248,248,255,GhostWhite
255,215,0,Gold
218,165,32,Goldenrod
173,255,47,GreenYellow
240,255,240,HoneyDew
255,105,180,HotPink
205,92,92,IndianRed
75,0,130,Indigo
255,255,240,Ivory
240,230,140,Khaki
230,230,250,Lavender
255,240,245,LavenderBlush
124,252,0,LawnGreen
255,250,205,LemonChiffon
173,216,230,LightBlue
240,128,128,LightCoral
224,255,255,LightCyan
250,250,210,LightGoldenrodYellow
211,211,211,LightGray
144,238,144,LightGreen
255,182,193,LightPink
255,160,122,LightSalmon
32,178,170,LightSeaGreen
135,206,250,LightSkyBlue
119,136,153,LightSlateGray
176,196,222,LightSteelBlue
255,255,224,LightYellow
50,205,50,LimeGreen
250,240,230,Linen
255,0,255,Magenta
128,0,0,Maroon
102,205,170,MediumAquamarine
0,0,205,MediumBlue
186,85,211,MediumOrchid
147,112,219,MediumPurple
60,179,113,MediumSeaGreen
123,104,238,MediumSlateBlue
0,250,154,MediumSpringGreen
72,209,204,MediumTurquoise
199,21,133,MediumVioletRed
25,25,112,MidnightBlue
245,255,250,MintCream
255,228,225,MistyRose
255,228,181,Moccasin
255,222,173,NavajoWhite
253,245,230,OldLace
107,142,35,OliveDrab
255,69,0,OrangeRed
218,112,214,Orchid
238,232,170,PaleGoldenrod
152,251,152,PaleGreen
175,238,238,PaleTurquoise
219,112,147,PaleVioletRed
255,239,213,PapayaWhip
255,218,185,PeachPuff
205,133,63,Peru
176,224,230,PowderBlue
188,143,143,RosyBrown
65,105,225,RoyalBlue
139,69,19,SaddleBrown
250,128,114,Salmon
244,164,96,SandyBrown
46,139,87,SeaGreen
255,245,238,SeaShell
160,82,45,Sienna
135,206,235,SkyBlue
106,90,205,SlateBlue
112,128,144,SlateGray
255,250,250,Snow
0,255,127,SpringGreen
70,130,180,SteelBlue
210,180,140,Tan
0,128,128,Teal
216,191,216,Thistle
255,99,71,Tomato
64,224,208,Turquoise
238,130,238,Violet
245,222,179,Wheat
245,245,245,WhiteSmoke
154,205,50,YellowGreen
255,174,66,Amber
153,102,204,Amethyst
102,51,153,RebeccaPurple
0,127,255,AzureBlue
132,222,2,AppleGreen
255,191,0,BrightGold
181,101,29,Bronze
205,127,50,BronzeLight
0,66,37,BritishRacingGreen
128,0,32,Burgundy
193,154,107,Camel
227,113,0,CarrotOrange
145,163,176,CadetGrey
112,41,99,Byzantium
189,51,164,Byzantine
0,123,167,Cerulean
42,82,190,CeruleanBlue
222,49,99,Cerise
247,231,206,Champagne
54,69,79,Charcoal
223,255,0,ChartreuseYellow
127,23,52,ChocolateCosmos
152,129,123,Cinereous
205,92,92,Chestnut
210,105,30,CocoaBrown
150,75,0,Coffee
255,127,50,CoralOrange
248,131,121,CoralPink
137,63,69,Cordovan
255,248,231,CosmicLatte
129,97,60,CoyoteBrown
220,20,60,CrimsonRed
0,71,171,CobaltBlue
100,28,173,DarkLavender
80,200,120,Emerald
80,220,100,EmeraldGreen
111,78,55,Espresso
194,178,128,Ecru
255,215,0,GoldenYellow
250,214,165,Fawn
255,36,0,FerrariRed
178,255,102,MintGreen
62,180,137,JungleGreen
41,171,135,Jade
0,168,107,PersianGreen
204,204,255,Periwinkle
28,57,187,PersianBlue
255,117,24,Pumpkin
112,28,28,PersianRed
227,11,92,Raspberry
145,95,109,RoseTaupe
255,0,127,Rose
188,39,50,Ruby
224,17,95,RubyRed
183,65,14,Rust
146,39,36,RustRed
192,64,0,Mahogany
115,147,179,Moonstone
115,169,194,AirForceBlue
93,138,168,Glaucous
103,146,103,ResedaGreen
183,104,162,OperaMauve
242,133,0,Tangerine
255,204,0,Sunglow
255,111,97,PastelRed
119,221,119,PastelGreen
174,198,207,PastelBlue
255,209,220,PastelPink
255,179,71,PastelOrange
207,207,196,AshGray
132,136,132,BattleshipGray
152,251,152,PaleGreen
238,232,170,PaleGoldenrod
175,238,238,PaleTurquoise
219,112,147,PaleVioletRed
